Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory  Tregs	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
CSICR_0075.tsv	0.01385439591894048	0.00000000000000000	0.00130506129460236	0.13094793951963210	0.02735017188166545	0.15772270007027372	0.02074845594836743	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07961258949040609	0.30438720621944004	0.00000000000000000	0.00000000000000000	0.00100009337019004	0.00000000000000000	0.00265596666381453	0.02024545321588796	0.00000000000000000	0.00000000000000000	0.24016996640677982	0.00000000000000000	0.85828704167065051	0.59279329075816356
CSICR_0076.tsv	0.00282636963275457	0.00191639875558418	0.01173934784024569	0.10699658331664459	0.06924130039948090	0.13334983547678067	0.03434781539768288	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.09047525824414854	0.25355513173595196	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00821342451938588	0.00832349109209930	0.04208461408221145	0.00000000000000000	0.00000000000000000	0.23693042950702939	0.00000000000000000	0.84053440262449741	0.62127083612976164
CSICR_0077.tsv	0.01216817063778026	0.00000000000000000	0.00194587867827496	0.18361309942370196	0.00000000000000000	0.12289255493031477	0.00431424722577193	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.09867036731386533	0.26878470694061146	0.01696439423648076	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00002769884528662	0.00529200105254538	0.00000000000000000	0.00000000000000000	0.28532688071536666	0.00000000000000000	0.87974547220358845	0.55538070455244448
CSICR_0080.tsv	0.00818979394277078	0.00000000000000000	0.00271196093174953	0.10673629598353457	0.00000000000000000	0.17982102565146632	0.01356881851455363	0.00000000000000000	0.00000000000000000	0.02322515209802744	0.00518727617368148	0.04651423916300844	0.24900185293361737	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00233405409239099	0.01888073831635680	0.00000000000000000	0.00000000000000000	0.34382879219884260	0.00000000000000000	0.86164563844557540	0.56374463248625051
CSICR_0081.tsv	0.00226682984740324	0.00812268444650615	0.01113548563391457	0.08880491463661951	0.02536460687493806	0.05238905328765818	0.02681230895867815	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.08337598822131903	0.22574466974519378	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00386690142482901	0.00937092777572044	0.01250151674244884	0.00000000000000000	0.00000000000000000	0.45024411240477108	0.00000000000000000	0.87906824358656344	0.51195526333904373
CSICR_0082.tsv	0.01515604498834128	0.00000000000000000	0.00231210686071229	0.13736783834112748	0.00000000000000000	0.15926909835395875	0.01149728711302307	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03272344065239607	0.07953491602588046	0.24036670799024493	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00035551218647320	0.00000000000000000	0.02498550066110223	0.00000000000000000	0.00000000000000000	0.29643154682674022	0.00000000000000000	0.87178386812726916	0.56766744052035834
CSICR_0083.tsv	0.00191845970694891	0.01100686527969660	0.01172962356853800	0.11670430261432010	0.06275337427465487	0.05200646673697733	0.02166532878128493	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03199507198656604	0.07954812271025251	0.28999877912181754	0.00000000000000000	0.00028126042979593	0.00000000000000000	0.00107211811833227	0.00000000000000000	0.01088525206869408	0.00000000000000000	0.00000000000000000	0.30843497460212088	0.00000000000000000	0.83278685748202264	0.59922571961231930
CSICR_0092.tsv	0.00567974912911993	0.00976952174161899	0.00118341911666344	0.06216666030727568	0.09601802934538532	0.16811007026201960	0.00828133410346327	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07860380008864326	0.27615241020045844	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00641398316204379	0.00000000000000000	0.00715433580670960	0.00000000000000000	0.28046668673659875	0.00000000000000000	0.83729802849270407	0.60318742371279810
CSICR_0096.tsv	0.03526180460215631	0.00000000000000000	0.00125499633634115	0.05412916308995239	0.03953924165002231	0.16551122783919786	0.01378554806489360	0.00000000000000000	0.00000000000000000	0.06286508899694540	0.00000000000000000	0.15433508998517387	0.22600338672061573	0.00000000000000000	0.00000000000000000	0.00456047361646124	0.00000000000000000	0.00154365165302177	0.00480525488608129	0.00000000000000000	0.00365049225990192	0.23275458029923518	0.00000000000000000	0.78117097557236570	0.65887544323460445
CSICR_0097.tsv	0.00853649533590286	0.02487870000570006	0.01250594911066602	0.08054928836037464	0.10162712546469080	0.11603861708224658	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04927189401632037	0.24457673037727753	0.00820908696977591	0.00000000000000000	0.00438330877042442	0.00000000000000000	0.00919252691139041	0.01853586010029390	0.00000000000000000	0.00000000000000000	0.32169441749493649	0.00000000000000000	0.86447907514982980	0.57260229294609000
