	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000125877	ITPA	-0.0303010870955529	-0.000370612272781148	-2.74813053885462	0.00616876399583822	0.0161506212620065	-3.05161544988627	inosine triphosphatase
ENSG00000169951	ZNF764	-0.0211451308807059	0.000686929502633087	-2.74760661819153	0.00617850725797802	0.0161709323959611	-3.05302108030266	zinc finger protein 764
ENSG00000060558	GNA15	0.060463116403643	0.000635724678877821	2.74710604410059	0.00618782932174956	0.0161901284374077	-3.0543638298101	G protein subunit alpha 15
ENSG00000278011	NA	0.0952015991437314	-0.00194005346267229	2.74683969172796	0.00619279470711429	0.0161979167917296	-3.05507820122273	NA
ENSG00000100983	GSS	-0.0247958431536866	0.00500200378460897	-2.74619752557251	0.00620478086659614	0.0162240578357706	-3.05680024759888	glutathione synthetase
ENSG00000156931	VPS8	-0.0211175168896562	0.00424865428078346	-2.7459822030536	0.00620880458945368	0.0162293688642812	-3.05737757309805	VPS8 subunit of CORVET complex
ENSG00000197054	ZNF763	-0.0159601644294277	0.00220743123064002	-2.74464540541275	0.00623383801057403	0.0162895767071304	-3.06096082390997	zinc finger protein 763
ENSG00000261512	NA	0.0364917530756392	0.00341670715458922	2.74429682713766	0.00624038058565061	0.016301443191188	-3.06189489898339	NA
ENSG00000236534	H3P36	0.0544216648479424	-0.00316364039095957	2.74342326643131	0.00625680395314742	0.0163391049049008	-3.06423524574531	H3 histone pseudogene 36
ENSG00000261335	LOC105274304	-0.0810212266827466	0.0155236614814796	-2.74300974813238	0.0062645918923914	0.0163501268683894	-3.06534284452438	uncharacterized LOC105274304
ENSG00000120318	ARAP3	0.0530832487482647	-0.00207269518625077	2.74294403598663	0.00626583027808899	0.0163501268683894	-3.0655188379214	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3
ENSG00000183048	SLC25A10	-0.0443902024372601	0.0100824313501685	-2.74287949607359	0.00626704678736793	0.0163501268683894	-3.06569168778487	solute carrier family 25 member 10
ENSG00000139679	LPAR6	0.0527160330318942	-0.0116694290630324	2.74214519513318	0.00628090259987438	0.0163810283944851	-3.06765800257643	lysophosphatidic acid receptor 6
ENSG00000240970	NA	-0.0879645273405783	0.00620134344529069	-2.74056243857158	0.00631086229962534	0.0164538967447018	-3.07189456938104	NA
ENSG00000224067	NA	0.07354463186382	-0.00992474730222848	2.74028474608374	0.00631613196380454	0.0164587150194346	-3.07263762319035	NA
ENSG00000137845	ADAM10	-0.0216577533028353	0.000131450951446907	-2.74025209835308	0.0063167517680482	0.0164587150194346	-3.07272497766169	ADAM metallopeptidase domain 10
ENSG00000196183	RPS2P4	0.0378455625579087	0.00111998144250889	2.7387712931713	0.00634492202393196	0.0165268275935164	-3.07668605242088	ribosomal protein S2 pseudogene 4
ENSG00000225683	PACRG-AS3	-0.101201910938227	-0.00820083135357357	-2.73737613515593	0.0063715666014458	0.0165909239030614	-3.08041611429962	PACRG antisense RNA 3
ENSG00000204099	NEU4	-0.0766847020355435	-0.00326144345226522	-2.73602123709808	0.00639753886117159	0.01665322915444	-3.08403676315745	neuraminidase 4
ENSG00000234284	ZNF879	-0.0392295800821788	-0.00668741455429245	-2.7354567820959	0.00640838713993564	0.0166761384200562	-3.08554462132175	zinc finger protein 879
ENSG00000132670	PTPRA	-0.0168337072231048	0.00101738488858973	-2.73509974658564	0.00641525758062477	0.0166886850827815	-3.08649823221821	protein tyrosine phosphatase receptor type A
ENSG00000152520	PAN3	-0.0133959500276907	0.000112220606842561	-2.73472338913003	0.00642250702572828	0.0167022093628853	-3.08750331886368	poly(A) specific ribonuclease subunit PAN3
ENSG00000131368	MRPS25	-0.0223854434682336	0.0028233140218966	-2.73389301986239	0.0064385278446998	0.0167349965118439	-3.08972039571527	mitochondrial ribosomal protein S25
