	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000196199	MPHOSPH8	-0.00794974232919805	-0.00400595508073897	-0.670195266185084	0.502983925138043	0.59598546264902	-6.53929785799845	M-phase phosphoprotein 8
ENSG00000100433	KCNK10	-0.00694094511815931	0.00149051812155695	-0.670033977949159	0.503086663750344	0.596020491090407	-6.53940461361584	potassium two pore domain channel subfamily K member 10
ENSG00000126016	AMOT	0.00943318588987283	-0.00750752242995661	0.669063743023826	0.503704925854283	0.596666175259327	-6.54004626431033	angiomotin
ENSG00000156017	CARNMT1	0.00646651570562085	-0.00749281467313212	0.668753058218285	0.503902988263373	0.596783134152404	-6.54025153491636	carnosine N-methyltransferase 1
ENSG00000188092	GPR89B	-0.00597101512299062	0.00227399997513816	-0.668679007036104	0.503950202173141	0.596783134152404	-6.54030044675798	G protein-coupled receptor 89B
ENSG00000213064	SFT2D2	-0.00693058803024362	0.00166036930376453	-0.668440432329843	0.504102329697728	0.596876504635557	-6.54045799190765	SFT2 domain containing 2
ENSG00000227788	MTCO3P43	0.0137688938251295	-0.0123427636242569	0.668279871406263	0.504204725286321	0.596910972014111	-6.54056398828663	MT-CO3 pseudogene 43
ENSG00000114867	EIF4G1	0.00724067103392241	-0.00421192078078703	0.667360009755969	0.504791566728471	0.597518865136375	-6.54117075679442	eukaryotic translation initiation factor 4 gamma 1
ENSG00000146386	ABRACL	-0.00845227673319726	-0.00282876694227638	-0.666618455280851	0.505264916664271	0.597992261875979	-6.54165930093545	ABRA C-terminal like
ENSG00000276809	NA	0.0122474446123363	0.00937287350362094	0.665407507325006	0.506038393958528	0.59882067685489	-6.54245592060473	NA
